Chromosome,Fitness,Overlap
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
"('redintelligence.net', 'smartsource.com', 'mingpao.com', 'mercadolibre.com', 'usps.com')",38099222.7764,2491.83471036
