Chromosome,Fitness,Overlap
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'futurezone.at', 'mercadolibre.com', 'mysavings.com', 'tumblr.com')",36659592.4775,71244.8557795
"('forgetfulbc.blogspot.com', 'mysavings.com', 'tumblr.com', 'livingrichwithcoupons.com', 'futurezone.at')",38856562.4838,325929.510674
"('livingrichwithcoupons.com', 'cnzz.com', 'futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com')",40203513.3209,183220.685922
"('livingrichwithcoupons.com', 'cnzz.com', 'futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('futurezone.at', 'redintelligence.net', 'forgetfulbc.blogspot.com', 'cnzz.com', 'livingrichwithcoupons.com')",40203513.3209,183220.685922
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('refdesk.com', 'discas.net', 'aol.de', 'nextmedia.com', 'couponaholic.net')",41923220.2542,142076.315704
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
"('futurezone.at', 'couponaholic.net', 'redintelligence.net', 'livingrichwithcoupons.com', 'derstandard.at')",47408974.7677,108849.220888
